date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:22:15	69762/69762	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jul%202022%2000:54:28%20GMT	https://eduadmin-template.multipurposethemes.com/bs5/main/index3.html	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/main/index3.html	(from )
09:22:16	239/239	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Nov%202023%2002:22:16%20GMT	https://eduadmin-template.multipurposethemes.com/robots.txt		(from )
09:22:16	3708/3708	---MCZ	200	added ('OK')	text/css	etag:W/%225fd26c3a-e7c%22	https://eduadmin-template.multipurposethemes.com/bs5/main/css/vendors_css.css	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/main/css/vendors_css.css	(from https://eduadmin-template.multipurposethemes.com/bs5/main/index3.html)
09:22:18	40420/40420	---MCZ	200	added ('OK')	text/css	etag:W/%225fe4e93c-9de4%22	https://eduadmin-template.multipurposethemes.com/bs5/main/css/skin_color.css	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/main/css/skin_color.css	(from https://eduadmin-template.multipurposethemes.com/bs5/main/index3.html)
09:22:18	728690/728690	---MCZ	200	added ('OK')	text/css	etag:W/%2262cca3e6-b1e72%22	https://eduadmin-template.multipurposethemes.com/bs5/main/css/style.css	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/main/css/style.css	(from https://eduadmin-template.multipurposethemes.com/bs5/main/index3.html)
09:22:19	67959/67959	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jul%202022%2000:54:28%20GMT	https://eduadmin-template.multipurposethemes.com/bs5/main/index.html	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/main/index.html	(from https://eduadmin-template.multipurposethemes.com/bs5/main/index3.html)
09:22:19	2350/2350	---M--	200	added ('OK')	image/png	etag:%225fa6febc-92e%22	https://eduadmin-template.multipurposethemes.com/bs5/images/logo-dark-text.png	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/logo-dark-text.png	(from https://eduadmin-template.multipurposethemes.com/bs5/main/index3.html)
09:22:19	2292/2292	---M--	200	added ('OK')	image/png	etag:%225fa6fea2-8f4%22	https://eduadmin-template.multipurposethemes.com/bs5/images/logo-light-text.png	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/logo-light-text.png	(from https://eduadmin-template.multipurposethemes.com/bs5/main/index3.html)
09:22:20	72570/72570	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jul%202022%2000:54:26%20GMT	https://eduadmin-template.multipurposethemes.com/bs5/main/contact_app_chat.html	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/main/contact_app_chat.html	(from https://eduadmin-template.multipurposethemes.com/bs5/main/index3.html)
09:22:21	68180/68180	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jul%202022%2000:54:28%20GMT	https://eduadmin-template.multipurposethemes.com/bs5/main/mailbox.html	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/main/mailbox.html	(from https://eduadmin-template.multipurposethemes.com/bs5/main/index3.html)
